id	verdict	diagnosis	admissionBlockers	ownerFailureCodes	engineAgreement	plannerOwnership	surfaceGate	mainClaimSource	mainClaimScope	packetSummary	contractId	contractStatus	contractFailures	sceneType	ownerTrace	release	taxonomy	ply	fen	playedUci	enginePv	primary	bookmaker	chronicle	reason
source-evans-opsahl-1950	admit_authority_row	admit_ready	none	-	top_pv_matches_played	primary_CertifiedOwner	certified_owner_surface_not_blocking	carlsbad_fixed_target_probe	PositionLocal	owner_source=carlsbad_fixed_target_probe;owner_family=backward_pawn_targeting;scope=PositionLocal;fallback=WeakMain;same_branch=Proven;persistence=Stable;seed=c6+fixed_target:c6+queenside+backward_pawn_targeting+coordination improvement+d6+a3+supports immediate tactical gain counterplay+outpost pressure+improves piece placement+d5+contest the pawn on d5+c6+fixed_target:c6+queenside+backward_pawn_targeting+a-file;continuation=b2b4|a7a6+a6+carlsbad_fixed_target_probe+fixed_target:c6+best_branch:a2a4|e4c3+c6+a2a4+e4c3;suppression=;risks=	subplan:backward_pawn_targeting	Releasable	-	forcing_defense	scene=forcing_defense;selected=WhatMattersHere:PositionProbe:carlsbad_fixed_target_probe;candidates=ForcingDefense:source_kind=threat:materiality=owner_candidate:move_linked=true:support_material=false:mapping=ForcingDefense/move_linked:source_kinds=threat:questions=WhatMustBeStopped+WhyNow:admission_decision=PrimaryAllowed:admission_reason=forcing_defense_primary_in_forcing_scene:urgent_threat|MoveDelta:source_kind=carlsbad_fixed_target_probe_line:materiality=owner_candidate:move_linked=true:support_material=false:mapping=MoveDelta/move_linked:source_kinds=carlsbad_fixed_target_probe_line:questions=WhatChanged+WhyThis:admission_decision=SupportOnly:admission_reason=move_delta_support_only_outside_quiet_or_conversion_scene:main_move_claim|PositionProbe:source_kind=carlsbad_fixed_target_probe:materiality=owner_candidate:move_linked=false:support_material=false:mapping=PositionProbe/position_local:source_kinds=carlsbad_fixed_target_probe:questions=WhatMattersHere:admission_decision=PrimaryAllowed:admission_reason=certified_position_probe_non_tactical_forcing_scene:certified_position_probe+current_position_probe;dropped=MoveDelta:carlsbad_fixed_target_probe_line:SupportOnly+admission_SupportOnly+main_move_claim+move_delta_support_only_outside_quiet_or_conversion_scene+owner_family=MoveDelta+owner_source=carlsbad_fixed_target_probe_line+scene=forcing_defense+state_truth_only	CertifiedOwner	source_carlsbad_fixed_target	25	r1b1rnk1/pp2qppp/2p5/3p4/3Pn3/2NBPN2/PPQ2PPP/1R3RK1 w - - 0 13	b2b4	b2b4 a7a6 a2a4 e4c3 c2c3 f8g6 b4b5 c6b5 a4b5 c8g4 b5a6 b7a6 f3d2 g6h4 c3c5 e7g5	The key strategic fact here is that c6 is the fixed target.	13. b4: The key strategic fact here is that c6 is the fixed target. If White drifts, b2b4 is the reply. One concrete line that keeps the idea in play is a) Further probe work still targets Gaining flank space with a rook pawn through a3 and b3. So the task is to keep the queenside pressure trained on c6 instead of rushing a conversion.	The key strategic fact here is that c6 is the fixed target. If White drifts, b2b4 is the reply.	exact replay and surfaces agree
source-evans-opsahl-1950	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	near_top_multipv_contains_played_top=e4c3_gap=6cp	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	quiet_improvement	scene=quiet_improvement;selected=-:-:-;candidates=MoveDelta:source_kind=pv_delta:materiality=owner_candidate:move_linked=true:support_material=false:mapping=MoveDelta/move_linked:source_kinds=pv_delta:questions=WhatChanged:admission_decision=PrimaryAllowed:admission_reason=move_delta_primary_in_quiet_or_conversion_scene:move_local_delta;dropped=	-	source_carlsbad_fixed_target	26	r1b1rnk1/pp2qppp/2p5/3p4/1P1Pn3/2NBPN2/P1Q2PPP/1R3RK1 b - - 0 13	a7a6	e4c3 c2c3 a7a6 a2a4 c8g4 f3e5 g4h5 c3c5 f7f6 c5e7 e8e7 e5f3 g7g5 f1c1 h5g6	-	13... a6: This is a pawn move to a6.	This is a pawn move to a6.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement
source-evans-opsahl-1950	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	top_pv_matches_played	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	forcing_defense	scene=forcing_defense;selected=WhyNow:ForcingDefense:threat;candidates=ForcingDefense:source_kind=threat:materiality=owner_candidate:move_linked=true:support_material=false:mapping=ForcingDefense/move_linked:source_kinds=threat:questions=WhatMustBeStopped+WhyNow:admission_decision=PrimaryAllowed:admission_reason=forcing_defense_primary_in_forcing_scene:urgent_threat;dropped=	-	source_carlsbad_fixed_target	27	r1b1rnk1/1p2qppp/p1p5/3p4/1P1Pn3/2NBPN2/P1Q2PPP/1R3RK1 w - - 0 14	a2a4	a2a4 e4c3 c2c3 c8g4 c3c5 g4f3 c5e7 e8e7 g2f3 f8e6 f1c1 g7g6 f3f4 e6c7 h2h4 c7e8 g1g2	The move has to happen now because otherwise a2a4 is demanded immediately.	14. a4: The move has to happen now because otherwise a2a4 is demanded immediately. If delayed, a2a4 is the reply. One concrete line that keeps the idea in play is a) Line: a) a4 Nxc3 Qxc3.	The move has to happen now because otherwise a2a4 is demanded immediately. If delayed, a2a4 is the reply. a) Line: a) a4 Nxc3 Qxc3.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only
source-evans-opsahl-1950	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	top_pv_matches_played	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	quiet_improvement	scene=quiet_improvement;selected=-:-:-;candidates=MoveDelta:source_kind=pv_delta:materiality=owner_candidate:move_linked=true:support_material=false:mapping=MoveDelta/move_linked:source_kinds=pv_delta:questions=WhatChanged:admission_decision=PrimaryAllowed:admission_reason=move_delta_primary_in_quiet_or_conversion_scene:move_local_delta;dropped=	-	source_carlsbad_fixed_target	28	r1b1rnk1/1p2qppp/p1p5/3p4/PP1Pn3/2NBPN2/2Q2PPP/1R3RK1 b - - 0 14	e4c3	e4c3 c2c3 c8g4 f3e5 g4h5 c3c5 f8g6 e5g6 h5g6 c5e7 e8e7 d3g6 h7g6 g2g3 g6g5	-	14... Nxc3: This captures on c3.	This captures on c3.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis
source-evans-opsahl-1950	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	top_pv_matches_played	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	quiet_improvement	scene=quiet_improvement;selected=-:-:-;candidates=MoveDelta:source_kind=pv_delta:materiality=owner_candidate:move_linked=true:support_material=false:mapping=MoveDelta/move_linked:source_kinds=pv_delta:questions=WhatChanged:admission_decision=PrimaryAllowed:admission_reason=move_delta_primary_in_quiet_or_conversion_scene:move_local_delta;dropped=	-	source_carlsbad_fixed_target	29	r1b1rnk1/1p2qppp/p1p5/3p4/PP1P4/2nBPN2/2Q2PPP/1R3RK1 w - - 0 15	c2c3	c2c3 c8e6 f1c1 g7g6 b1a1 e8c8 c3c5 e7d8 a4a5 f8d7 c5d6 e6g4	-	15. Qxc3: This captures on c3.	This captures on c3.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis
source-evans-opsahl-1950	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	top_pv_matches_played	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	forcing_defense	scene=forcing_defense;selected=WhyNow:ForcingDefense:threat;candidates=ForcingDefense:source_kind=threat:materiality=owner_candidate:move_linked=true:support_material=false:mapping=ForcingDefense/move_linked:source_kinds=threat:questions=WhatMustBeStopped+WhyNow:admission_decision=PrimaryAllowed:admission_reason=forcing_defense_primary_in_forcing_scene:urgent_threat;dropped=	-	source_carlsbad_fixed_target	30	r1b1rnk1/1p2qppp/p1p5/3p4/PP1P4/2QBPN2/5PPP/1R3RK1 b - - 0 15	c8g4	c8g4 f3e5 g4h5 c3c2 a8c8 d3f5 c8c7 c2c5 g7g6 c5e7 c7e7 f5c2 g6g5 c2f5 h5g6 f5g6 f8g6 e5g6 h7g6	The move has to happen now because otherwise c8g4 is demanded immediately.	15... Bg4: The move has to happen now because otherwise c8g4 is demanded immediately. If delayed, c8g4 is the reply. One concrete line that keeps the idea in play is a) Further probe work still targets Gaining flank space with a rook pawn through a5 and c5.	The move has to happen now because otherwise c8g4 is demanded immediately. If delayed, c8g4 is the reply.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only
source-evans-opsahl-1950	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	top_pv_matches_played	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	forcing_defense	scene=forcing_defense;selected=WhyNow:ForcingDefense:threat;candidates=ForcingDefense:source_kind=threat:materiality=owner_candidate:move_linked=true:support_material=false:mapping=ForcingDefense/move_linked:source_kinds=threat:questions=WhatMustBeStopped+WhyNow:admission_decision=PrimaryAllowed:admission_reason=forcing_defense_primary_in_forcing_scene:urgent_threat;dropped=	-	source_carlsbad_fixed_target	31	r3rnk1/1p2qppp/p1p5/3p4/PP1P2b1/2QBPN2/5PPP/1R3RK1 w - - 1 16	f3d2	f3d2 e7g5 f1e1 a8c8 d2f1 h7h5 f2f4 g5f6 c3c2	The move has to happen now because otherwise f3d2 is demanded immediately.	16. Nd2: The move has to happen now because otherwise f3d2 is demanded immediately. If delayed, f3d2 is the reply. One concrete line that keeps the idea in play is a) Further probe work still targets Gaining flank space with a rook pawn through g3 and h3.	The move has to happen now because otherwise f3d2 is demanded immediately. If delayed, f3d2 is the reply.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only
source-evans-opsahl-1950	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	top_pv_matches_played	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	forcing_defense	scene=forcing_defense;selected=WhyNow:ForcingDefense:threat;candidates=ForcingDefense:source_kind=threat:materiality=owner_candidate:move_linked=true:support_material=false:mapping=ForcingDefense/move_linked:source_kinds=threat:questions=WhatMustBeStopped+WhyNow:admission_decision=PrimaryAllowed:admission_reason=forcing_defense_primary_in_forcing_scene:urgent_threat;dropped=	-	source_carlsbad_fixed_target	32	r3rnk1/1p2qppp/p1p5/3p4/PP1P2b1/2QBP3/3N1PPP/1R3RK1 b - - 2 16	e7g5	e7g5 f1c1 a8c8 d2f1 g4h3 f1g3 h3d7 f2f4 g5g4 c1e1 h7h5 c3c2 g7g6 g3f1 f8h7 h2h3 g4h4	The move has to happen now because otherwise e7g5 is demanded immediately.	16... Qg5: The move has to happen now because otherwise e7g5 is demanded immediately. If delayed, e7g5 is the reply. One concrete line that keeps the idea in play is a) Further probe work still targets Gaining flank space with a rook pawn through f5 and f6.	The move has to happen now because otherwise e7g5 is demanded immediately. If delayed, e7g5 is the reply.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only
source-evans-opsahl-1950	admit_authority_row	admit_ready	none	-	top_pv_matches_played	primary_SupportedLocal	supported_local_surface_passed	iqp_inducement_probe	MoveLocal	owner_source=iqp_inducement_probe;owner_family=iqp_inducement;scope=MoveLocal;fallback=WeakMain;same_branch=Proven;persistence=Stable;seed=d5+isolated_pawn:d5+iqp_inducement+coordination improvement+d6+e4+supports immediate tactical gain counterplay+central foothold+improves piece placement+c6+contest the pawn on c6+d5+isolated_pawn:d5+iqp_inducement+a-file+queenside;continuation=f1c1|h7h5+h5+iqp_inducement_branch+isolated_pawn:d5+d5+f1c1+h7h5+b4b5+c6b5;suppression=;risks=	subplan:iqp_inducement	Releasable	-	quiet_improvement	scene=quiet_improvement;selected=WhyThis:MoveDelta:iqp_inducement_probe;candidates=MoveDelta:source_kind=iqp_inducement_probe:materiality=owner_candidate:move_linked=true:support_material=false:mapping=MoveDelta/move_linked:source_kinds=iqp_inducement_probe:questions=WhatChanged+WhyThis:admission_decision=PrimaryAllowed:admission_reason=move_delta_primary_in_quiet_or_conversion_scene:main_move_claim;dropped=	SupportedLocal	source_carlsbad_fixed_target	33	r3rnk1/1p3ppp/p1p5/3p2q1/PP1P2b1/2QBP3/3N1PPP/1R3RK1 w - - 3 17	f1c1	f1c1 h7h5 b4b5 c6b5 a4b5 a6a5 d3f1 h5h4 h2h3 g4h3 d2f3 g5f6 g2h3 f6f3 f1g2 f3f5	A local reading is that this sequence leaves an isolated pawn as the local target.	A local reading is that this sequence leaves an isolated pawn as the local target.	A local reading is that this sequence leaves an isolated pawn as the local target.	exact replay and surfaces agree
source-evans-opsahl-1950	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	near_top_multipv_contains_played_top=a8c8_gap=13cp	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	quiet_improvement	scene=quiet_improvement;selected=-:-:-;candidates=MoveDelta:source_kind=pv_delta:materiality=owner_candidate:move_linked=true:support_material=false:mapping=MoveDelta/move_linked:source_kinds=pv_delta:questions=WhatChanged:admission_decision=PrimaryAllowed:admission_reason=move_delta_primary_in_quiet_or_conversion_scene:move_local_delta;dropped=	-	source_carlsbad_fixed_target	34	r3rnk1/1p3ppp/p1p5/3p2q1/PP1P2b1/2QBP3/3N1PPP/1RR3K1 b - - 4 17	e8e6	a8c8 c3b2 f8g6 d2f1 g6h4 f1g3 g4f5 d3f5 h4f5 b4b5 a6b5 g3f5 g5f5 a4b5 h7h5 b5c6 b7c6	-	17... Re6: This puts the rook on e6.	This puts the rook on e6.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement
